"subj","sex","age","period","group","mat_rank","groupmates","num_mat_kin","fai","rain","PC1","PC2","PC3","time_moving","time_groom_groomed","time_groom","time_groomed","time_playing","prop_gm_kin","prop_gm_nonkin","dfgc","cp"
"allo","M",2.39561943874059,"p1","twn",0.636,29,5,3512770.18541667,7.9016393442623,-3.7430575383532,1.19224787243619,-3.43760568180173,14.0167364016736,2.51046025104602,0,2.51046025104602,6.90376569037657,0,0,345.78125,-0.552921929847723
"allo","M",2.56262833675565,"p2","twn",0.636,29,5,62577136.4432916,8.70491803278689,-2.1308240135363,-0.844163699503951,-0.205094772172196,21.1666666666667,1.66666666666667,0,1.66666666666667,1.66666666666667,0,0,-34.4437499999999,-0.632321794100576
"allo","M",2.7296372347707,"p3","twn",0.636,29,5,187855194.336458,4.37741935483871,-1.62445867860857,-1.12651722177897,-0.692555004267581,19.134775374376,3.66056572379368,0.166389351081531,3.49417637271215,3.66056572379368,0,0.166389351081531,-296.99375,0.0861084596580173
"allo","M",2.89390828199863,"p4","twn",0.636,29,5,53437630.8114583,1.9271186440678,-4.21373735724839,-0.304578545221992,-1.01865939643594,19.5454545454545,0,0,0,11.2121212121212,0,0,-14.34375,0.285111078688821
"amos","M",5.53867214236824,"p1","twn",0.636,29,5,3512770.18541667,7.9016393442623,-1.50685966546438,-0.276804563377814,0.23901929676567,14.4050104384134,0.835073068893528,0.417536534446764,0.417536534446764,4.17536534446764,0.208768267223382,0.208768267223382,75.978947368421,-0.534056817474008
"amos","M",5.7056810403833,"p2","twn",0.636,29,5,62577136.4432916,8.70491803278689,-0.67312848206555,-0.654640014556915,-1.1241668777963,18.8333333333333,4.5,1.33333333333333,3.16666666666667,3.66666666666667,0.833333333333333,0.5,-325.187719298246,-0.0152725974700416
"amos","M",5.87268993839836,"p3","twn",0.636,29,5,187855194.336458,4.37741935483871,-2.13459494673562,-1.24169008692509,-1.31594446082444,18.5,2.16666666666667,1.83333333333333,0.333333333333333,7,0,1.83333333333333,-164.196052631579,0.426671548799804
"amos","M",6.03696098562628,"p4","twn",0.636,29,5,53437630.8114583,1.9271186440678,-1.19967063047585,-0.749748302618672,0.701546999195832,17.5,2.8125,1.25,1.5625,1.875,0.46875,0.78125,460.798947368421,-0.132627003063456
"atom","F",6.5242984257358,"p1","tws",0.556,55,2,10523384.2534722,7.9016393442623,2.918596559708,1.51504439629263,0.371699258823105,15.2083333333333,7.08333333333333,4.375,2.70833333333333,0,0,3.95833333333333,35.74,0.350534240707532
"atom","F",6.69130732375086,"p2","tws",0.556,55,2,70500030.8786388,8.70491803278689,1.98199571103595,0.570406089431389,-0.170553893179509,16.2640901771337,8.85668276972625,5.31400966183575,3.5426731078905,0,0,5.31400966183575,-75.7266666666667,0.180636156691007
"atom","F",6.85831622176591,"p3","tws",0.556,54,2,237846630.790277,4.37741935483871,2.07041447881857,1.85937012611835,0.454036193219887,16.3333333333333,6,4.33333333333333,1.66666666666667,0.333333333333333,0,4.33333333333333,-33.0766666666667,0.257165054694918
"atom","F",7.02258726899384,"p4","tws",0.556,53,2,56043211.3340276,1.9271186440678,1.59171556119256,3.16278352210708,0.469698637641292,16.0606060606061,7.42424242424242,6.36363636363636,1.06060606060606,1.51515151515152,0.454545454545455,6.21212121212121,81.9983333333333,-0.0619667302640861
"bike","M",6.43394934976044,"p1","tws",0.261,55,5,10523384.2534722,7.9016393442623,-0.770656422139622,-0.0922886052941655,0.809976246948095,15.625,3.75,1.875,1.875,1.25,0,1.875,225.2625,-0.514272027278299
"bike","M",6.6009582477755,"p2","tws",0.261,55,5,70500030.8786388,8.70491803278689,-0.178278786116222,-1.50608644427157,2.27435963063259,17.124394184168,0.807754442649435,0.161550888529887,0.646203554119548,0,0.161550888529887,0,-210.6375,0.192960245072869
"bike","M",6.76796714579055,"p3","tws",0.261,54,5,237846630.790277,4.37741935483871,-1.12169486797336,0.164987057099578,1.91591840727839,16.8333333333333,2.66666666666667,0.5,2.16666666666667,3,0.5,0,-57.1575,0.478140195591899
"bike","M",6.93223819301848,"p4","tws",0.261,53,5,56043211.3340276,1.9271186440678,-1.30077432236799,0.726863773346001,0.471037952833274,11.8361153262519,4.24886191198786,1.51745068285281,2.73141122913505,3.33839150227618,0.606980273141123,0.910470409711684,113.1375,-0.208535470628267
"blas","M",3.57837097878166,"p1","tws",0.13,55,3,10523384.2534722,7.9016393442623,0.576758677496849,-0.917168845627224,1.35925328066222,18.9583333333333,5.20833333333333,2.08333333333333,3.125,0.833333333333333,1.25,0.833333333333333,-153.783333333333,-0.19186621499045
"blas","M",3.74537987679671,"p2","tws",0.13,55,3,70500030.8786388,8.70491803278689,-1.26601883859941,0.00623436082277776,0.640922577755018,19.6774193548387,1.12903225806452,0,1.12903225806452,2.90322580645161,0,0,-21.03,-0.425126055657144
"blas","M",3.91238877481177,"p3","tws",0.13,54,3,237846630.790277,4.37741935483871,-1.68661787425075,-1.13692938433066,0.348859866759776,19.1666666666667,1,0.333333333333333,0.666666666666667,4.16666666666667,0.333333333333333,0,-56.95,1.09225014533264
"blas","M",4.0766598220397,"p4","tws",0.13,53,3,56043211.3340276,1.9271186440678,-3.46255309656539,1.85422706853503,-0.778392729226238,16.5905631659056,1.36986301369863,0,1.36986301369863,12.1765601217656,0,0,198.575,-0.460421659455923
"bong","M",2.32717316906229,"p1","tws",0.696,55,7,10523384.2534722,7.9016393442623,-0.641319421599828,0.471907467731276,2.00724019167136,23.3333333333333,1.45833333333333,0.208333333333333,1.25,2.08333333333333,0,0.208333333333333,395.614583333333,-0.143297995987002
"bong","M",2.49418206707734,"p2","tws",0.696,55,7,70500030.8786388,8.70491803278689,-0.815070477862047,-0.923236836917486,0.504082188905206,20.3225806451613,2.41935483870968,0,2.41935483870968,2.41935483870968,0,0,-286.61875,-0.358395439469988
"bong","M",2.6611909650924,"p3","tws",0.696,54,7,237846630.790277,4.37741935483871,-2.21326630272912,2.01119052810581,1.1019855499521,18,0,0,0,5.16666666666667,0,0,-114.99375,-0.517344915587354
"bong","M",2.82546201232033,"p4","tws",0.696,53,7,56043211.3340276,1.9271186440678,-1.28154200175639,1.99054937646672,-0.182215300874291,16.6414523449319,2.11800302571861,0.605143721633888,1.51285930408472,6.5052950075643,0.302571860816944,0.302571860816944,176.55625,-0.454976692162181
"boyd","F",3.40862422997947,"p1","tws",0.217,55,5,10523384.2534722,7.9016393442623,3.08204677620726,2.64506128924485,-1.35512212416735,16.6666666666667,8.125,2.70833333333333,5.41666666666667,0.833333333333333,1.66666666666667,1.04166666666667,-271.364583333333,-0.548905211063694
"boyd","F",3.57563312799452,"p2","tws",0.217,55,5,70500030.8786388,8.70491803278689,1.20149359456819,0.023001858785694,0.467988802853968,19.1935483870968,5.16129032258065,2.58064516129032,2.58064516129032,0,1.93548387096774,0.645161290322581,19.7687499999999,-0.304946370044358
"boyd","F",3.74264202600958,"p3","tws",0.217,54,5,237846630.790277,4.37741935483871,0.448896090494229,0.921823908130594,-0.266906423033783,18.5308848080134,2.33722871452421,0.667779632721202,1.669449081803,3.17195325542571,0,0.667779632721202,-117.68125,0.503090323380878
"boyd","F",3.90691307323751,"p4","tws",0.217,53,5,56043211.3340276,1.9271186440678,2.18689506143669,2.85059830378242,-1.49959697776641,18.7878787878788,4.54545454545455,2.87878787878788,1.66666666666667,3.03030303030303,0.303030303030303,2.57575757575758,241.14875,-0.111034509400547
"brav","M",2.43121149897331,"p1","tws",0.826,55,10,10523384.2534722,7.9016393442623,0.761336613556058,0.31566645377646,1.02252023154832,19.7916666666667,3.54166666666667,1.04166666666667,2.5,0.625,0.416666666666667,0.625,625.171428571428,-0.24922926976704
"brav","M",2.59822039698836,"p2","tws",0.826,55,10,70500030.8786388,8.70491803278689,-0.781807237740129,-1.55757848352495,0.474211316351359,21.1290322580645,2.09677419354839,0.645161290322581,1.45161290322581,1.29032258064516,0.483870967741935,0.161290322580645,-56.7285714285715,0.0867308049655402
"brav","M",2.76522929500342,"p3","tws",0.826,54,10,237846630.790277,4.37741935483871,-2.9548072311141,1.41102809409135,-0.548032161156737,16.4725457570715,1.16472545757072,0.332778702163062,0.831946755407654,9.98336106489185,0.166389351081531,0.166389351081531,-137.028571428571,-0.0169672168988342
"brav","M",2.92950034223135,"p4","tws",0.826,53,11,56043211.3340276,1.9271186440678,-2.97498068050297,0.374887035290105,0.338552067909029,20,0.294117647058824,0,0.294117647058824,6.76470588235294,0,0,29.9714285714285,-0.0299528088007508
"brog","F",6.62286105407255,"p1","tws",0.826,55,10,10523384.2534722,7.9016393442623,1.31162202172575,-0.110339991475655,2.23731279199093,20.8,3.2,3,0.2,0,1.8,1.2,85.35625,0.111461796082702
"brog","F",6.78986995208761,"p2","tws",0.826,55,10,70500030.8786388,8.70491803278689,2.13313898326673,-0.872104756505692,-0.360212448528775,16.3606010016695,7.17863105175292,6.84474123539232,0.333889816360601,0,2.33722871452421,4.67445742904841,53.35625,-0.73401300787766
"brog","F",6.95687885010267,"p3","tws",0.826,54,10,237846630.790277,4.37741935483871,1.95410198103873,2.20819986334625,-0.0396139913189745,21.1666666666667,4.5,4,0.5,3,1.5,2.5,-170.04375,0.841372404255512
"brog","F",7.1211498973306,"p4","tws",0.826,53,11,56043211.3340276,1.9271186440678,4.09414692543348,1.92587204815037,-2.76007276789935,14.6969696969697,6.96969696969697,5.60606060606061,1.36363636363636,1.06060606060606,1.51515151515152,4.09090909090909,31.33125,0.254494804947723
"burn","F",6.50513347022587,"p1","tws",0.13,55,3,10523384.2534722,7.9016393442623,0.98793565582391,-0.376054326475225,2.03802508830224,20.8333333333333,3.125,3.125,0,0,1.875,2.70833333333333,-42.8211764705882,-0.26538191440279
"burn","F",6.67214236824093,"p2","tws",0.13,55,3,70500030.8786388,8.70491803278689,1.42991241290457,-0.664842881531022,0.319468513169667,18.0645161290323,3.54838709677419,2.90322580645161,0.645161290322581,0,0,2.90322580645161,173.283823529412,0.0234293818989681
"burn","F",6.83915126625599,"p3","tws",0.13,54,3,237846630.790277,4.37741935483871,3.40712204468145,0.548405829469517,-0.930254819481434,17.3333333333333,11.3333333333333,7.83333333333333,3.5,0.166666666666667,1.5,6.33333333333333,-113.966176470588,0.680462655827115
"burn","F",7.00342231348391,"p4","tws",0.13,53,3,56043211.3340276,1.9271186440678,1.75447408475469,0.780960557678011,-1.3462196292167,16.8181818181818,7.72727272727273,5.60606060606061,2.12121212121212,1.21212121212121,0.757575757575758,4.84848484848485,-5.79117647058824,0.286365807303345
"dais","F",5.52498288843258,"p1","gn",0,46,6,3671093.21778846,7.9016393442623,0.908937232343177,-1.44884501557261,-0.0309181232676942,15.2083333333333,7.08333333333333,2.91666666666667,4.16666666666667,0,0,2.91666666666667,132.966666666667,NA
"dais","F",5.69199178644764,"p2","gn",0,46,6,61750456.8108974,8.70491803278689,0.653744522714239,-1.65052052506002,1.18966242897335,16.4516129032258,3.38709677419355,2.09677419354839,1.29032258064516,0,1.12903225806452,0.806451612903226,65.0299999999999,-0.915761061379558
"dais","F",5.8590006844627,"p3","gn",0,45,6,215585523.947596,4.37741935483871,2.70196680322117,-0.423098721780504,-0.823978526093838,18,12.1666666666667,6.66666666666667,5.5,0.166666666666667,5.33333333333333,1.33333333333333,89.7249999999999,1.02125616401482
"dais","F",6.02327173169062,"p4","gn",0,44,5,21231305.5269231,1.9271186440678,1.66274732808497,0.345117781615061,0.677384710739155,17.4242424242424,5.90909090909091,3.78787878787879,2.12121212121212,0,1.81818181818182,1.96969696969697,-216.59,0.306865013162209
"dame","F",3.64955509924709,"p1","tws",0.957,55,4,10523384.2534722,7.9016393442623,2.28179469738747,1.62106632891954,0.462409496852283,22.2916666666667,8.95833333333333,4.58333333333333,4.375,1.45833333333333,0.208333333333333,4.375,49.1522222222222,-0.413193233315634
"dame","F",3.81656399726215,"p2","tws",0.957,55,4,70500030.8786388,8.70491803278689,2.53412816353959,-1.12606730237233,-0.389636548635111,18.0645161290323,10.6451612903226,3.87096774193548,6.7741935483871,0,1.61290322580645,2.25806451612903,-161.302777777778,-0.240396786725072
"dame","F",3.98357289527721,"p3","tws",0.957,54,3,237846630.790277,4.37741935483871,0.219706764402691,1.79281713550025,0.377054807871573,17.6666666666667,2.66666666666667,1.66666666666667,1,3.83333333333333,1,0.666666666666667,-51.1777777777778,0.416849454365375
"dame","F",4.14784394250513,"p4","tws",0.957,53,3,56043211.3340276,1.9271186440678,0.605096801467254,1.75173645261895,0.513677028187752,16.8181818181818,2.57575757575758,2.57575757575758,0,1.66666666666667,0,2.57575757575758,120.832222222222,-0.151290441152006
"dann","M",2.57905544147844,"p1","gn",0,46,6,3671093.21778846,7.9016393442623,-0.944678429850254,-0.67698960637122,1.9057453745347,25,1,0.2,0.8,0,0.2,0,175.785714285714,-0.171898871525306
"dann","M",2.7460643394935,"p2","gn",0,46,6,61750456.8108974,8.70491803278689,-1.03828337332907,0.0926045691115201,-1.02857350991605,22.866344605475,2.73752012882448,0.966183574879227,1.77133655394525,1.77133655394525,0.966183574879227,0,-131.839285714286,-0.0779724277890104
"dann","M",2.91307323750856,"p3","gn",0,45,6,215585523.947596,4.37741935483871,-3.47339668208327,4.51768980490248,-1.50478071844606,19.375,0,0,0,6.875,0,0,NA,-0.931064487778577
"davi","F",1.97672826830938,"p1","twn",1,29,3,3512770.18541667,7.9016393442623,0.583839297216078,-1.45602896824709,0.23499749970501,16.875,4.375,0.625,3.75,0,0.625,0,254.879411764706,-0.428714616922611
"davi","F",2.14373716632444,"p2","twn",1,29,3,62577136.4432916,8.70491803278689,0.899729197614616,-1.82342065584155,-0.380525048519179,17.109634551495,5.14950166112957,1.99335548172757,3.15614617940199,0,1.82724252491694,0.166112956810631,27.2960784313725,0.17963630012389
"davi","F",2.31074606433949,"p3","twn",1,29,3,187855194.336458,4.37741935483871,0.484216179145577,-0.329390186191532,0.255638998403096,18.6666666666667,4.83333333333333,2,2.83333333333333,0.666666666666667,1.5,0.5,-320.790588235294,0.442156850978362
"davi","F",2.47501711156742,"p4","twn",1,29,3,53437630.8114583,1.9271186440678,0.0583649834899157,-1.24030659995065,-0.517879538830702,19.0909090909091,7.42424242424242,3.63636363636364,3.78787878787879,1.06060606060606,2.57575757575758,1.06060606060606,100.509411764706,0.110174997158105
"dean","M",4.64339493497604,"p1","gn",0.211,46,3,3671093.21778846,7.9016393442623,-0.284814827136251,2.47683616467613,1.67328065083535,16.4926931106472,0.835073068893528,0.835073068893528,0,0.626304801670146,0,0.835073068893528,531.5,-0.815007995652667
"dean","M",4.8104038329911,"p2","gn",0.211,46,3,61750456.8108974,8.70491803278689,-0.659570394633374,-0.46242917865911,-0.53490366929976,18.8709677419355,3.54838709677419,1.45161290322581,2.09677419354839,2.74193548387097,0,1.45161290322581,-28.675,-0.0542807408300847
"dean","M",4.97741273100616,"p3","gn",0.211,45,3,215585523.947596,4.37741935483871,-0.575305538150799,-0.121960239887946,-0.290048408157934,16.8333333333333,4.66666666666667,1,3.66666666666667,1.16666666666667,0.666666666666667,0.333333333333333,-343.45,0.0325343668104199
"dean","M",5.14168377823409,"p4","gn",0.211,44,3,21231305.5269231,1.9271186440678,-0.927282649562227,1.11922515645255,1.08606907800826,18.1818181818182,1.81818181818182,0.454545454545455,1.36363636363636,2.87878787878788,0.303030303030303,0.151515151515152,-159.375,0.140381031082335
"dext","M",2.4394250513347,"p1","gn",0.579,46,8,3671093.21778846,7.9016393442623,-0.373338636206099,-2.37244147486636,1.22595648688029,20.0417536534447,1.04384133611691,0,1.04384133611691,0,0,0,115.493333333333,-1.77831002700287
"dext","M",2.60643394934976,"p2","gn",0.579,46,8,61750456.8108974,8.70491803278689,-0.913352408244728,-1.72439476310491,1.47349125220472,22.061191626409,0,0,0,0.644122383252818,0,0,-204.748333333333,-0.543431578137069
"dext","M",2.77344284736482,"p3","gn",0.579,45,8,215585523.947596,4.37741935483871,-0.996735010399167,-1.13412393188101,1.36362534678317,20.1612903225806,0.32258064516129,0,0.32258064516129,2.25806451612903,0,0,144.426666666667,0.350901042393521
"dext","M",2.93771389459274,"p4","gn",0.579,44,7,21231305.5269231,1.9271186440678,-1.60136685963676,0.421140420190106,0.682850205118278,18.4848484848485,2.57575757575758,0,2.57575757575758,5.3030303030303,0,0,-26.2983333333333,0.37454104853166
"dubl","M",6.49144421629021,"p1","tws",0.957,55,4,10523384.2534722,7.9016393442623,-1.1579107562352,2.21882267515246,1.88180881642758,12.9166666666667,1.875,0.416666666666667,1.45833333333333,1.875,0.416666666666667,0,-71.6490196078432,-0.116507619525351
"dubl","M",6.65845311430527,"p2","tws",0.957,55,4,70500030.8786388,8.70491803278689,-1.16763608423238,0.210277123527244,1.35469596645195,16.4516129032258,0.161290322580645,0.161290322580645,0,2.74193548387097,0,0.161290322580645,56.7676470588235,-0.524347200789109
"dubl","M",6.82546201232033,"p3","tws",0.957,54,3,237846630.790277,4.37741935483871,-0.906095639028442,1.64764990664194,1.28973117567135,14.3572621035058,1.0016694490818,1.0016694490818,0,3.50584307178631,0.667779632721202,0.333889816360601,-65.2323529411765,0.510005841080503
"dubl","M",6.98973305954825,"p4","tws",0.957,53,3,56043211.3340276,1.9271186440678,-2.47634274935609,0.737441745202886,0.0753893012451138,16.8181818181818,1.81818181818182,1.21212121212121,0.606060606060606,9.09090909090909,1.21212121212121,0,41.4676470588235,0.232400581371604
"fris","M",6.51060917180014,"p1","tws",0.625,55,2,10523384.2534722,7.9016393442623,0.27625352465801,3.32263378475131,1.51244129735022,15,3.57142857142857,2.85714285714286,0.714285714285714,0.476190476190476,0.714285714285714,2.85714285714286,-91.0357142857143,-0.250150248578814
"fris","M",6.6776180698152,"p2","tws",0.625,55,2,70500030.8786388,8.70491803278689,-0.0148805830937926,0.959703780167225,0.94894654786601,14.6774193548387,1.7741935483871,1.12903225806452,0.645161290322581,0.806451612903226,0,1.12903225806452,34.4892857142858,0.326307811841377
"fris","M",6.84462696783025,"p3","tws",0.625,54,2,237846630.790277,4.37741935483871,-1.93188678287393,1.02853130013905,1.05672757032167,17.9401993355482,0.664451827242525,0.166112956810631,0.498338870431894,4.48504983388704,0,0.166112956810631,-133.310714285714,0.218334620365158
"fris","M",7.00889801505818,"p4","tws",0.625,53,2,56043211.3340276,1.9271186440678,-0.523979729280367,1.15280540489084,0.88927024180174,14.0909090909091,2.42424242424242,0.909090909090909,1.51515151515152,1.66666666666667,0,0.909090909090909,144.339285714286,0.208333508418632
"kabu","F",2.3709787816564,"p1","twn",0.455,29,5,3512770.18541667,7.9016393442623,0.669729353009115,-0.93642515146329,0.800267207071074,19.375,2.08333333333333,0.625,1.45833333333333,0,0,0.625,87.4200000000001,NA
"kabu","F",2.53798767967146,"p2","twn",0.455,29,5,62577136.4432916,8.70491803278689,-0.00895394752586691,-1.26535565072992,0.192851571400033,20.7119741100324,3.07443365695793,0.970873786407767,2.10355987055016,0.485436893203883,0.323624595469256,0.647249190938511,606.453333333333,-0.461103352973872
"kabu","F",2.70499657768652,"p3","twn",0.455,29,5,187855194.336458,4.37741935483871,0.150343227518592,-1.82928733295945,0.364023325796577,22.0367278797997,2.00333889816361,0.834724540901502,1.1686143572621,0.333889816360601,0.333889816360601,0.500834724540901,-490.846666666667,0.325629823781776
"kabu","F",2.86926762491444,"p4","twn",0.455,29,5,53437630.8114583,1.9271186440678,-0.702401496966748,-1.59562246124601,-0.193037004101147,16.6666666666667,3.63636363636364,0.606060606060606,3.03030303030303,0.909090909090909,0.606060606060606,0,-181.171666666667,-0.02277883771303
"keny","M",5.56331279945243,"p1","twn",0.455,29,5,3512770.18541667,7.9016393442623,-2.54997106437032,0.0691662280187697,-1.62856189031261,12.6,2.6,1.2,1.4,4.8,1.2,0,262.108823529412,-0.335706950920552
"keny","M",5.73032169746749,"p2","twn",0.455,29,5,62577136.4432916,8.70491803278689,-1.98125453560611,-0.374482378379731,-0.991024086262639,20.5,1,0.5,0.5,4.33333333333333,0,0.5,67.4838235294117,-0.175970545602781
"keny","M",5.89733059548255,"p3","twn",0.455,29,5,187855194.336458,4.37741935483871,-1.62057531679384,-1.14792577145086,0.0271220600707693,15.9468438538206,1.99335548172757,0.332225913621262,1.66112956810631,4.31893687707641,0.332225913621262,0,-247.716176470588,0.303012372967506
"keny","M",6.06160164271047,"p4","twn",0.455,29,5,53437630.8114583,1.9271186440678,-1.32885196778587,-0.101254775486389,-0.408693924882045,15,4.09090909090909,1.81818181818182,2.27272727272727,4.24242424242424,0.151515151515152,1.66666666666667,-65.5011764705883,-0.359478374972345
"king","M",3.83025325119781,"p1","twn",0.364,29,5,3512770.18541667,7.9016393442623,-0.716769046694268,-0.545379615272252,-1.61226743880082,18.125,4.58333333333333,1.66666666666667,2.91666666666667,0.208333333333333,0.625,1.04166666666667,11.1928571428571,-0.754405734288977
"king","M",3.99726214921287,"p2","twn",0.364,29,5,62577136.4432916,8.70491803278689,-4.90278266269961,1.1941602234523,-4.25318326765674,18.0645161290323,0.645161290322581,0.645161290322581,0,18.0645161290323,0.645161290322581,0,-209.207142857143,-0.530640632250779
